FIPS,danger,bins_num,bins_labels
40131,619,3,High Risk
40133,344,2,Medium Risk
40135,575,3,High Risk
40137,705,3,High Risk
40139,1051,3,High Risk
40141,588,3,High Risk
40143,1531,4,Very High Risk
40145,551,3,High Risk
40147,533,3,High Risk
40149,576,3,High Risk
40151,646,3,High Risk
40153,765,3,High Risk
41001,115,1,Low Risk
41003,280,2,Medium Risk
41005,662,3,High Risk
41007,684,3,High Risk
41009,492,3,High Risk
41011,908,3,High Risk
41013,179,2,Medium Risk
41015,1455,4,Very High Risk
41017,387,2,Medium Risk
41019,991,3,High Risk
41021,147,1,Low Risk
41023,224,2,Medium Risk
41025,70,1,Low Risk
41027,463,3,High Risk
41029,490,3,High Risk
41031,321,2,Medium Risk
41033,377,2,Medium Risk
41035,623,3,High Risk
41037,524,3,High Risk
41039,866,3,High Risk
41041,584,3,High Risk
41043,480,3,High Risk
41045,123,1,Low Risk
41047,498,3,High Risk
41049,250,2,Medium Risk
41051,655,3,High Risk
41053,282,2,Medium Risk
41055,95,1,Low Risk
41057,733,3,High Risk
41059,450,3,High Risk
41061,464,3,High Risk
41063,249,2,Medium Risk
41065,211,2,Medium Risk
41067,472,3,High Risk
41069,234,2,Medium Risk
41071,379,2,Medium Risk
42001,343,2,Medium Risk
42003,1358,4,Very High Risk
42005,388,2,Medium Risk
42007,566,3,High Risk
42009,269,2,Medium Risk
42011,1150,4,Very High Risk
42013,268,2,Medium Risk
42015,478,3,High Risk
42017,675,3,High Risk
42019,518,3,High Risk
42021,407,3,High Risk
42023,152,2,Medium Risk
42025,875,3,High Risk
42027,500,3,High Risk
42029,745,3,High Risk
42031,332,2,Medium Risk
42033,384,2,Medium Risk
42035,405,3,High Risk
42037,287,2,Medium Risk
42039,687,3,High Risk
42041,389,2,Medium Risk
42043,415,3,High Risk
42045,883,3,High Risk
42047,246,2,Medium Risk
42049,837,3,High Risk
42051,543,3,High Risk
42053,192,2,Medium Risk
42055,381,2,Medium Risk
42057,143,1,Low Risk
42059,270,2,Medium Risk
42061,302,2,Medium Risk
42063,443,3,High Risk
42065,463,3,High Risk
42067,181,2,Medium Risk
42069,314,2,Medium Risk
42071,660,3,High Risk
42073,383,2,Medium Risk
42075,363,2,Medium Risk
42077,925,3,High Risk
42079,404,3,High Risk
42081,571,3,High Risk
42083,343,2,Medium Risk
42085,567,3,High Risk
42087,207,2,Medium Risk
42089,973,3,High Risk
42091,744,3,High Risk
42093,172,2,Medium Risk
42095,967,3,High Risk
42097,286,2,Medium Risk
42099,273,2,Medium Risk
42101,952,3,High Risk
42103,261,2,Medium Risk
42105,272,2,Medium Risk
42107,325,2,Medium Risk
42109,203,2,Medium Risk
42111,395,2,Medium Risk
42113,225,2,Medium Risk
42115,395,2,Medium Risk
42117,315,2,Medium Risk
42119,206,2,Medium Risk
42121,469,3,High Risk
42123,382,2,Medium Risk
42125,673,3,High Risk
42127,348,2,Medium Risk
42129,1025,3,High Risk
42131,220,2,Medium Risk
42133,662,3,High Risk
44001,201,2,Medium Risk
44003,481,3,High Risk
44005,229,2,Medium Risk
44007,661,3,High Risk
44009,313,2,Medium Risk
45001,294,2,Medium Risk
45003,580,3,High Risk
45005,250,2,Medium Risk
45007,744,3,High Risk
45009,213,2,Medium Risk
45011,255,2,Medium Risk
45013,739,3,High Risk
45015,794,3,High Risk
45017,232,2,Medium Risk
45019,1254,4,Very High Risk
45021,400,2,Medium Risk
45023,313,2,Medium Risk
45025,340,2,Medium Risk
45027,323,2,Medium Risk
45029,862,3,High Risk
45031,434,3,High Risk
45033,234,2,Medium Risk
45035,645,3,High Risk
45037,237,2,Medium Risk
45039,319,2,Medium Risk
45041,477,3,High Risk
45043,300,2,Medium Risk
45045,1137,4,Very High Risk
45047,361,2,Medium Risk
45049,326,2,Medium Risk
45051,699,3,High Risk
45053,440,3,High Risk
45055,367,2,Medium Risk
45057,309,2,Medium Risk
45059,503,3,High Risk
45061,190,2,Medium Risk
45063,827,3,High Risk
45065,170,2,Medium Risk
45067,266,2,Medium Risk
45069,266,2,Medium Risk
45071,369,2,Medium Risk
45073,732,3,High Risk
45075,562,3,High Risk
45077,676,3,High Risk
45079,911,3,High Risk
45081,254,2,Medium Risk
45083,872,3,High Risk
45085,437,3,High Risk
45087,350,2,Medium Risk
45089,237,2,Medium Risk
45091,533,3,High Risk
46003,364,2,Medium Risk
46005,573,3,High Risk
46007,385,2,Medium Risk
46009,442,3,High Risk
46011,466,3,High Risk
46013,781,3,High Risk
46015,407,3,High Risk
46017,248,2,Medium Risk
46019,632,3,High Risk
46021,318,2,Medium Risk
46023,509,3,High Risk
46025,424,3,High Risk
46027,408,3,High Risk
46029,419,3,High Risk
46031,630,3,High Risk
46033,974,3,High Risk
46035,484,3,High Risk
46037,466,3,High Risk
46039,305,2,Medium Risk
46041,510,3,High Risk
46043,302,2,Medium Risk
46045,509,3,High Risk
46047,602,3,High Risk
46049,386,2,Medium Risk
46051,365,2,Medium Risk
46053,419,3,High Risk
46055,520,3,High Risk
46057,399,2,Medium Risk
46059,554,3,High Risk
46061,353,2,Medium Risk
46063,752,3,High Risk
46065,426,3,High Risk
46067,437,3,High Risk
46069,333,2,Medium Risk
46071,581,3,High Risk
46073,310,2,Medium Risk
46075,346,2,Medium Risk
46077,426,3,High Risk
46079,428,3,High Risk
46081,850,3,High Risk
46083,511,3,High Risk
46085,543,3,High Risk
46087,428,3,High Risk
46089,413,3,High Risk
46091,394,2,Medium Risk
46093,1762,4,Very High Risk
46095,313,2,Medium Risk
46097,338,2,Medium Risk
46099,853,3,High Risk
46101,377,2,Medium Risk
46103,2023,4,Very High Risk
46105,691,3,High Risk
46107,302,2,Medium Risk
46109,387,2,Medium Risk
46111,366,2,Medium Risk
46113,48,0,Very Low Risk
46115,512,3,High Risk
46117,438,3,High Risk
46119,345,2,Medium Risk
46121,483,3,High Risk
46123,505,3,High Risk
46125,449,3,High Risk
46127,463,3,High Risk
46129,397,2,Medium Risk
46135,500,3,High Risk
46137,553,3,High Risk
47001,294,2,Medium Risk
47003,300,2,Medium Risk
47005,267,2,Medium Risk
47007,243,2,Medium Risk
47009,470,3,High Risk
47011,373,2,Medium Risk
47013,261,2,Medium Risk
47015,185,2,Medium Risk
47017,306,2,Medium Risk
47019,281,2,Medium Risk
47021,256,2,Medium Risk
47023,213,2,Medium Risk
47025,263,2,Medium Risk
47027,216,2,Medium Risk
47029,335,2,Medium Risk
47031,368,2,Medium Risk
47033,212,2,Medium Risk
47035,315,2,Medium Risk
47037,1085,3,High Risk
47039,229,2,Medium Risk
47041,223,2,Medium Risk
47043,407,3,High Risk
47045,255,2,Medium Risk
47047,291,2,Medium Risk
47049,347,2,Medium Risk
47051,462,3,High Risk
47053,358,2,Medium Risk
47055,278,2,Medium Risk
47057,226,2,Medium Risk
47059,458,3,High Risk
47061,200,2,Medium Risk
47063,235,2,Medium Risk
47065,545,3,High Risk
47067,144,1,Low Risk
47069,271,2,Medium Risk
47071,243,2,Medium Risk
47073,263,2,Medium Risk
47075,212,2,Medium Risk
47077,293,2,Medium Risk
47079,285,2,Medium Risk
47081,335,2,Medium Risk
47083,183,2,Medium Risk
47085,250,2,Medium Risk
47087,213,2,Medium Risk
47089,270,2,Medium Risk
47091,188,2,Medium Risk
47093,526,3,High Risk
47095,173,2,Medium Risk
47097,246,2,Medium Risk
47099,509,3,High Risk
47101,194,2,Medium Risk
47103,438,3,High Risk
47105,286,2,Medium Risk
47107,377,2,Medium Risk
47109,235,2,Medium Risk
47111,242,2,Medium Risk
47113,403,3,High Risk
47115,293,2,Medium Risk
47117,231,2,Medium Risk
47119,425,3,High Risk
47121,189,2,Medium Risk
47123,449,3,High Risk
47125,451,3,High Risk
47127,264,2,Medium Risk
47129,287,2,Medium Risk
47131,266,2,Medium Risk
47133,286,2,Medium Risk
47135,202,2,Medium Risk
47137,146,1,Low Risk
47139,274,2,Medium Risk
47141,474,3,High Risk
47143,277,2,Medium Risk
47145,333,2,Medium Risk
47147,383,2,Medium Risk
47149,628,3,High Risk
47151,229,2,Medium Risk
47153,211,2,Medium Risk
47155,522,3,High Risk
47157,783,3,High Risk
47159,259,2,Medium Risk
47161,274,2,Medium Risk
47163,380,2,Medium Risk
47165,593,3,High Risk
47167,330,2,Medium Risk
47169,134,1,Low Risk
47171,185,2,Medium Risk
47173,202,2,Medium Risk
47175,144,1,Low Risk
47177,259,2,Medium Risk
47179,300,2,Medium Risk
47181,260,2,Medium Risk
47183,279,2,Medium Risk
47185,244,2,Medium Risk
47187,564,3,High Risk
47189,729,3,High Risk
48001,406,3,High Risk
48003,228,2,Medium Risk
48005,416,3,High Risk
48007,173,2,Medium Risk
48009,488,3,High Risk
48011,464,3,High Risk
48013,208,2,Medium Risk
48015,162,2,Medium Risk
48017,378,2,Medium Risk
48019,276,2,Medium Risk
48021,293,2,Medium Risk
48023,308,2,Medium Risk
48025,247,2,Medium Risk
48027,668,3,High Risk
48029,795,3,High Risk
48031,210,2,Medium Risk
48033,164,2,Medium Risk
48035,359,2,Medium Risk
48037,557,3,High Risk
48039,395,2,Medium Risk
48041,254,2,Medium Risk
48043,361,2,Medium Risk
48045,381,2,Medium Risk
48047,273,2,Medium Risk
48049,468,3,High Risk
48051,184,2,Medium Risk
48053,332,2,Medium Risk
48055,236,2,Medium Risk
48057,170,2,Medium Risk
48059,362,2,Medium Risk
48061,543,3,High Risk
48063,200,2,Medium Risk
48065,752,3,High Risk
48067,377,2,Medium Risk
48069,464,3,High Risk
48071,168,2,Medium Risk
48073,386,2,Medium Risk
48075,410,3,High Risk
48077,487,3,High Risk
48079,331,2,Medium Risk
48081,266,2,Medium Risk
48083,339,2,Medium Risk
48085,850,3,High Risk
48087,332,2,Medium Risk
48089,172,2,Medium Risk
48091,302,2,Medium Risk
48093,342,2,Medium Risk
48095,222,2,Medium Risk
48097,538,3,High Risk
48099,378,2,Medium Risk
48101,376,2,Medium Risk
48103,108,1,Low Risk
48105,219,2,Medium Risk
48107,397,2,Medium Risk
48109,810,3,High Risk
48111,400,2,Medium Risk
48113,1116,4,Very High Risk
48115,250,2,Medium Risk
48117,572,3,High Risk
48119,196,2,Medium Risk
48121,1002,3,High Risk
48123,226,2,Medium Risk
48125,335,2,Medium Risk
48127,159,2,Medium Risk
48129,566,3,High Risk
48131,231,2,Medium Risk
48133,394,2,Medium Risk
48135,483,3,High Risk
48137,262,2,Medium Risk
48139,551,3,High Risk
48141,367,2,Medium Risk
48143,368,2,Medium Risk
48145,230,2,Medium Risk
48147,408,3,High Risk
48149,211,2,Medium Risk
48151,324,2,Medium Risk
48153,469,3,High Risk
48155,250,2,Medium Risk
48157,322,2,Medium Risk
48159,220,2,Medium Risk
48161,213,2,Medium Risk
48163,217,2,Medium Risk
48165,373,2,Medium Risk
48167,437,3,High Risk
48169,409,3,High Risk
48171,316,2,Medium Risk
48173,229,2,Medium Risk
48175,208,2,Medium Risk
48177,195,2,Medium Risk
48179,723,3,High Risk
48181,659,3,High Risk
48183,453,3,High Risk
48185,150,2,Medium Risk
48187,242,2,Medium Risk
48189,555,3,High Risk
48191,419,3,High Risk
48193,294,2,Medium Risk
48195,447,3,High Risk
48197,385,2,Medium Risk
48199,188,2,Medium Risk
48201,1206,4,Very High Risk
48203,512,3,High Risk
48205,531,3,High Risk
48207,451,3,High Risk
48209,308,2,Medium Risk
48211,405,3,High Risk
48213,356,2,Medium Risk
48215,505,3,High Risk
48217,412,3,High Risk
48219,570,3,High Risk
48221,372,2,Medium Risk
48223,374,2,Medium Risk
48225,267,2,Medium Risk
48227,351,2,Medium Risk
48229,156,2,Medium Risk
48231,470,3,High Risk
48233,727,3,High Risk
48235,197,2,Medium Risk
48237,361,2,Medium Risk
48239,124,1,Low Risk
48241,268,2,Medium Risk
48243,131,1,Low Risk
48245,319,2,Medium Risk
48247,270,2,Medium Risk
48249,284,2,Medium Risk
48251,569,3,High Risk
48253,506,3,High Risk
48255,172,2,Medium Risk
48257,377,2,Medium Risk
48259,251,2,Medium Risk
48261,225,2,Medium Risk
48263,282,2,Medium Risk
48265,325,2,Medium Risk
48267,255,2,Medium Risk
48269,283,2,Medium Risk
48271,184,2,Medium Risk
48273,247,2,Medium Risk
48275,358,2,Medium Risk
48277,421,3,High Risk
