FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
31089,125128000.0,1.0,6.0,134428000.0,284.609114486847,3,4
31091,3892500.0,0.0,0.0,3892500.0,8.241147514952628,1,2
31093,19890160.0,0.0,0.0,19890160.0,42.11117345048431,2,2
31095,14116500.0,1.0,3.0,23266500.0,49.25951410575345,2,3
31097,2068000.0,2.0,0.0,20068000.0,42.48769385486688,2,2
31099,58394160.0,0.0,2.0,58494160.0,123.84303181072356,3,2
31101,9089500.0,2.0,13.0,27739500.0,58.7296882443233,2,3
31103,4424200.0,0.0,7.0,4774200.0,10.107870639919547,1,2
31105,7930400.0,2.0,8.0,26330400.0,55.74636108611655,2,3
31107,10194500.0,0.0,5.0,10444500.0,22.112951886942252,2,3
31109,242718400.0,10.0,47.0,335068400.0,709.4022124596411,4,4
31111,109886150.0,16.0,30.0,255386150.0,540.7000476366909,3,5
31113,4738000.0,4.0,2.0,40838000.0,86.46165246387551,2,1
31115,3830000.0,0.0,0.0,3830000.0,8.108823373736303,1,2
31117,2506000.0,0.0,2.0,2606000.0,5.517387392155825,1,2
31119,6586000.0,3.0,2.0,33686000.0,71.31953633620918,2,2
31121,20823160.0,4.0,0.0,56823160.0,120.30521357116393,3,2
31123,5017500.0,0.0,6.0,5317500.0,11.258137934684804,1,3
31125,10544160.0,0.0,0.0,10544160.0,22.323950669560155,2,2
31127,2178000.0,1.0,0.0,11178000.0,23.665908008257027,2,2
31129,15129660.0,0.0,0.0,15129660.0,32.032308262319376,2,3
31131,31798000.0,2.0,3.0,49948000.0,105.74921928756682,3,2
31133,728000.0,0.0,0.0,728000.0,1.5413115968877362,0,1
31135,7742750.0,2.0,7.0,26092750.0,55.2432117715556,2,3
31137,32824160.0,0.0,14.0,33524160.0,70.97689091197799,2,3
31139,2014000.0,0.0,1.0,2064000.0,4.369872439527867,1,2
31141,19433200.0,2.0,17.0,38283200.0,81.05266500820409,2,3
31143,17678160.0,0.0,19.0,18628160.0,39.4392843910443,2,2
31145,4287950.0,0.0,46.0,6587950.0,13.947917218017256,1,3
31147,6154000.0,0.0,0.0,6154000.0,13.029164240724079,1,2
31149,5149850.0,0.0,0.0,5149850.0,10.903191658286138,1,2
31151,131378000.0,0.0,8.0,131778000.0,278.99857089927485,3,3
31153,19944500.0,5.0,14.0,65644500.0,138.9816334091992,3,3
31155,8239500.0,2.0,13.0,26889500.0,56.93007992378129,2,3
31157,106803250.0,0.0,39.0,108753250.0,230.25088657174612,3,3
31159,8741000.0,6.0,40.0,64741000.0,137.068755623776,3,3
31161,38001200.0,0.0,19.0,38951200.0,82.46694542952416,2,3
31163,11513160.0,0.0,0.0,11513160.0,24.375504154978035,2,2
31165,85000.0,0.0,1.0,135000.0,0.2858201450272588,0,2
31167,16573500.0,1.0,37.0,27423500.0,58.06065738633356,2,3
31169,38265660.0,1.0,10.0,47765660.0,101.12879902609433,3,3
31171,2496000.0,0.0,0.0,2496000.0,5.2844969036150955,1,2
31173,451000.0,0.0,2.0,551000.0,1.166569628963108,0,2
31175,16561160.0,0.0,0.0,16561160.0,35.06306039273805,2,3
31177,20219000.0,3.0,4.0,47419000.0,100.3948552373895,3,2
31179,11330000.0,4.0,23.0,48480000.0,102.64118985867783,3,3
