id,time,location,latitude,longitude,depth,magnitude,url
hv60788561,2014-10-13 04:43:51.100,"13km WSW of Pahala, Hawaii",19.1608,-155.5965,5.4,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/hv60788561
usb000slgz,2014-10-13 04:43:51.100,"13km WSW of Pahala, Hawaii",19.1608,-155.5965,5.4,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000slgz
usc000t69v,2014-12-13 06:42:46.980,"53km WNW of Kalaoa, Hawaii",19.8263,-156.4813,42.2,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usc000t69v
hv60848586,2015-02-09 18:16:15.590,"12km WSW of Volcano, Hawaii",19.3716667,-155.3418333,13.43,4.25,https://earthquake.usgs.gov/earthquakes/eventpage/hv60848586
hv60887176,2015-04-05 13:23:52.100,"12km W of Kalaoa, Hawaii",19.7483,-156.1013,10.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/hv60887176
hv60922676,2015-05-09 12:18:48.280,"13km WSW of Pahala, Hawaii",19.1426667,-155.5933333,8.79,4.46,https://earthquake.usgs.gov/earthquakes/eventpage/hv60922676
hv60968241,2015-06-28 08:10:10.480,"11km SSE of Volcano, Hawaii",19.335,-155.2093333,8.55,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/hv60968241
hv61176206,2016-02-12 19:23:05.800,"18km S of Fern Acres, Hawaii",19.3513333,-155.0523333,8.248,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/hv61176206
hv61207881,2016-03-20 16:43:59.650,"14km SE of Waikoloa, Hawaii",19.8465,-155.6991667,32.356,4.59,https://earthquake.usgs.gov/earthquakes/eventpage/hv61207881
us20005dvu,2016-04-01 09:16:08.880,"72km NNE of Honoka'a, Hawaii",20.6876,-155.195,25.29,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/us20005dvu
hv61350131,2016-07-23 07:16:05.250,"3km WSW of Honalo, Hawaii",19.5295,-155.96,11.481,4.32,https://earthquake.usgs.gov/earthquakes/eventpage/hv61350131
hv61400896,2016-09-06 14:25:57.520,"28km E of Honaunau-Napoopoo, Hawaii",19.452,-155.5891667,1.182,4.05,https://earthquake.usgs.gov/earthquakes/eventpage/hv61400896
hv61610021,2017-02-17 15:33:30.660,"28km WNW of Waikoloa Village, Hawaii",20.0665,-156.0566667,40.721,4.66,https://earthquake.usgs.gov/earthquakes/eventpage/hv61610021
hv61636051,2017-03-09 13:03:39.140,"75km NNE of Kualapu'u, Hawaii",21.7531667,-156.8668333,31.966,4.71,https://earthquake.usgs.gov/earthquakes/eventpage/hv61636051
hv61658206,2017-03-23 20:27:29.120,"17km SSE of Volcano, Hawaii",19.2835,-155.1768333,8.342,4.49,https://earthquake.usgs.gov/earthquakes/eventpage/hv61658206
hv61792931,2017-06-08 17:01:19.350,"16km SE of Volcano, Hawaii",19.33,-155.1206667,7.132,5.28,https://earthquake.usgs.gov/earthquakes/eventpage/hv61792931
hv61807446,2017-06-21 20:09:06.470,"28km ESE of Hawaiian Ocean View, Hawaii",18.9255,-155.538,38.12,4.51,https://earthquake.usgs.gov/earthquakes/eventpage/hv61807446
hv61568507,2017-07-30 12:01:06.460,"33km WNW of Hawi, Hawaii",20.4045,-156.102,17.252,4.21,https://earthquake.usgs.gov/earthquakes/eventpage/hv61568507
hv70102511,2018-05-01 12:39:11.860,"23km SE of Volcano, Hawaii",19.2705,-155.0968333,5.9,4.22,https://earthquake.usgs.gov/earthquakes/eventpage/hv70102511
hv70112126,2018-05-03 20:30:56.470,"18km S of Fern Acres, Hawaii",19.3388333,-155.0706667,6.47,5.06,https://earthquake.usgs.gov/earthquakes/eventpage/hv70112126
hv70116411,2018-05-04 21:32:44.060,"18km SW of Leilani Estates, Hawaii",19.3303333,-155.0175,6.48,5.73,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116411
hv70116416,2018-05-04 21:38:23.880,"18km SW of Leilani Estates, Hawaii",19.3378333,-155.0215,1.32,4.35,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116416
