County or equivalent,State or district,Rank,Population
Autauga County,Alabama,907,"55,514"
Baldwin County,Alabama,332,"1,90,790"
Barbour County,Alabama,1523,"27,201"
Bibb County,Alabama,1707,"22,597"
Blount County,Alabama,882,"57,826"
Bullock County,Alabama,2397,"10,474"
Butler County,Alabama,1825,"20,307"
Calhoun County,Alabama,518,"1,17,296"
Chambers County,Alabama,1327,"34,064"
Cherokee County,Alabama,1562,"26,021"
Chilton County,Alabama,1090,"43,819"
Choctaw County,Alabama,2206,"13,633"
Clarke County,Alabama,1601,"25,161"
Clay County,Alabama,2217,"13,435"
Cleburne County,Alabama,2122,"14,832"
Coffee County,Alabama,965,"51,252"
Colbert County,Alabama,918,"54,446"
Conecuh County,Alabama,2241,"12,981"
Coosa County,Alabama,2362,"10,966"
Covington County,Alabama,1225,"37,955"
Crenshaw County,Alabama,2169,"14,083"
Cullman County,Alabama,686,"80,440"
Dale County,Alabama,972,"50,444"
Dallas County,Alabama,1115,"42,864"
DeKalb County,Alabama,752,"71,080"
Elmore County,Alabama,685,"80,629"
Escambia County,Alabama,1223,"37,994"
Etowah County,Alabama,564,"1,04,392"
Fayette County,Alabama,1984,"16,983"
Franklin County,Alabama,1393,"31,761"
Geneva County,Alabama,1532,"26,931"
Greene County,Alabama,2529,"8,876"
Hale County,Alabama,2081,"15,388"
Henry County,Alabama,1964,"17,287"
Houston County,Alabama,566,"1,03,402"
Jackson County,Alabama,938,"53,019"
Jefferson County,Alabama,93,"6,60,009"
Lamar County,Alabama,2156,"14,259"
Lauderdale County,Alabama,625,"92,542"
Lawrence County,Alabama,1330,"33,838"
Lee County,Alabama,428,"1,47,257"
Limestone County,Alabama,648,"87,654"
Lowndes County,Alabama,2370,"10,857"
Macon County,Alabama,1812,"20,535"
Madison County,Alabama,192,"3,43,080"
Marengo County,Alabama,1821,"20,401"
Marion County,Alabama,1422,"30,327"
Marshall County,Alabama,612,"94,776"
Mobile County,Alabama,165,"4,13,936"
Monroe County,Alabama,1706,"22,602"
Montgomery County,Alabama,279,"2,30,149"
Morgan County,Alabama,506,"1,20,395"
Perry County,Alabama,2426,"10,181"
Pickens County,Alabama,1860,"19,405"
Pike County,Alabama,1349,"33,182"
Randolph County,Alabama,1701,"22,675"
Russell County,Alabama,883,"57,820"
St. Clair County,Alabama,661,"85,237"
Shelby County,Alabama,313,"2,00,941"
Sumter County,Alabama,2218,"13,427"
Talladega County,Alabama,678,"81,762"
Tallapoosa County,Alabama,1148,"41,168"
Tuscaloosa County,Alabama,321,"1,98,596"
Walker County,Alabama,795,"66,221"
Washington County,Alabama,1970,"17,109"
Wilcox County,Alabama,2333,"11,431"
Winston County,Alabama,1637,"24,108"
Aleutians East Borough,Alaska,2965,"3,161"
Aleutians West Census Area,Alaska,2800,"5,547"
"Anchorage, Municipality of",Alaska,220,"2,98,610"
Bethel Census Area,Alaska,1931,"17,746"
Bristol Bay Borough,Alaska,3109,991
Denali Borough,Alaska,3067,"1,875"
Dillingham Census Area,Alaska,2835,"5,034"
Fairbanks North Star Borough,Alaska,588,"1,00,272"
Haines Borough,Alaska,3006,"2,552"
Hoonah-Angoon Census Area,Alaska,3041,"2,129"
"Juneau, City and Borough",Alaska,1370,"32,556"
Kenai Peninsula Borough,Alaska,892,"56,900"
Ketchikan Gateway Borough,Alaska,2189,"13,779"
Kodiak Island Borough,Alaska,2159,"14,239"
Lake and Peninsula Borough,Alaska,3077,"1,654"
Matanuska-Susitna Borough,Alaska,616,"93,925"
Nome Census Area,Alaska,2449,"9,915"
North Slope Borough,Alaska,2460,"9,643"
Northwest Arctic Borough,Alaska,2614,"7,810"
Petersburg Census Area,Alaska,2918,"3,844"
Prince of Wales-Hyder Census Area,Alaska,2789,"5,751"
"Sitka, City and Borough of",Alaska,2515,"9,046"
"Skagway Borough, Municipality of",Alaska,3110,959
Southeast Fairbanks Census Area,Alaska,2669,"7,144"
Valdez-Cordova Census Area,Alaska,2458,"9,717"
Wade Hampton Census Area,Alaska,2615,"7,809"
"Wrangell, City and Borough of",Alaska,3014,"2,403"
"Yakutat, City and Borough of",Alaska,3132,668
Yukon-Koyukuk Census Area,Alaska,2785,"5,770"
Apache County,Arizona,743,"73,195"
Cochise County,Arizona,473,"1,32,088"
Coconino County,Arizona,457,"1,36,011"
Gila County,Arizona,936,"53,144"
Graham County,Arizona,1236,"37,416"
Greenlee County,Arizona,2534,"8,802"
La Paz County,Arizona,1826,"20,281"
Maricopa County,Arizona,4,"39,42,169"
Mohave County,Arizona,309,"2,03,334"
Navajo County,Arizona,555,"1,07,094"
Pima County,Arizona,42,"9,92,394"
Pinal County,Arizona,173,"3,87,365"
Santa Cruz County,Arizona,1022,"47,303"
Yavapai County,Arizona,296,"2,12,637"
Yuma County,Arizona,316,"2,00,022"
Arkansas County,Arkansas,1880,"18,892"
Ashley County,Arkansas,1752,"21,524"
Baxter County,Arkansas,1153,"41,048"
Benton County,Arkansas,278,"2,32,268"
Boone County,Arkansas,1238,"37,327"
Bradley County,Arkansas,2336,"11,397"
Calhoun County,Arkansas,2818,"5,307"
Carroll County,Arkansas,1508,"27,610"
Chicot County,Arkansas,2332,"11,433"
Clark County,Arkansas,1692,"22,936"
Clay County,Arkansas,2066,"15,684"
Cleburne County,Arkansas,1575,"25,808"
Cleveland County,Arkansas,2554,"8,627"
Columbia County,Arkansas,1625,"24,473"
Conway County,Arkansas,1768,"21,287"
Craighead County,Arkansas,590,"99,735"
Crawford County,Arkansas,840,"61,946"
Crittenden County,Arkansas,977,"50,021"
Cross County,Arkansas,1935,"17,683"
Dallas County,Arkansas,2600,"7,987"
Desha County,Arkansas,2271,"12,545"
Drew County,Arkansas,1886,"18,743"
Faulkner County,Arkansas,512,"1,18,704"
Franklin County,Arkansas,1919,"18,045"
Fulton County,Arkansas,2287,"12,318"
Garland County,Arkansas,604,"96,903"
Grant County,Arkansas,1921,"17,986"
Greene County,Arkansas,1104,"43,163"
Hempstead County,Arkansas,1716,"22,373"
Hot Spring County,Arkansas,1343,"33,394"
Howard County,Arkansas,2195,"13,735"
Independence County,Arkansas,1245,"37,025"
Izard County,Arkansas,2214,"13,474"
Jackson County,Arkansas,1943,"17,600"
Jefferson County,Arkansas,732,"74,723"
Johnson County,Arkansas,1568,"25,901"
Lafayette County,Arkansas,2647,"7,447"
Lawrence County,Arkansas,1979,"17,012"
Lee County,Arkansas,2424,"10,216"
Lincoln County,Arkansas,2168,"14,101"
Little River County,Arkansas,2248,"12,919"
Logan County,Arkansas,1732,"21,983"
Lonoke County,Arkansas,761,"69,839"
Madison County,Arkansas,2070,"15,645"
Marion County,Arkansas,2006,"16,568"
Miller County,Arkansas,1095,"43,634"
Mississippi County,Arkansas,1057,"45,562"
Monroe County,Arkansas,2612,"7,828"
Montgomery County,Arkansas,2487,"9,340"
Nevada County,Arkansas,2526,"8,925"
Newton County,Arkansas,2595,"8,086"
Ouachita County,Arkansas,1593,"25,396"
Perry County,Arkansas,2410,"10,339"
Phillips County,Arkansas,1790,"20,784"
Pike County,Arkansas,2340,"11,247"
Poinsett County,Arkansas,1633,"24,307"
Polk County,Arkansas,1817,"20,471"
Pope County,Arkansas,832,"62,765"
Prairie County,Arkansas,2568,"8,458"
Pulaski County,Arkansas,172,"3,88,953"
Randolph County,Arkansas,1924,"17,930"
St. Francis County,Arkansas,1500,"27,858"
Saline County,Arkansas,539,"1,11,845"
Scott County,Arkansas,2357,"11,010"
Searcy County,Arkansas,2599,"8,007"
Sebastian County,Arkansas,484,"1,27,304"
Sevier County,Arkansas,1966,"17,177"
Sharp County,Arkansas,1975,"17,054"
Stone County,Arkansas,2263,"12,663"
Union County,Arkansas,1157,"40,867"
Van Buren County,Arkansas,1978,"17,030"
Washington County,Arkansas,297,"2,11,411"
White County,Arkansas,700,"78,493"
Woodruff County,Arkansas,2674,"7,100"
Yell County,Arkansas,1733,"21,932"
Alameda County,California,21,"15,54,720"
Alpine County,California,3104,"1,129"
Amador County,California,1244,"37,035"
Butte County,California,285,"2,21,539"
Calaveras County,California,1074,"44,742"
Colusa County,California,1761,"21,411"
Contra Costa County,California,38,"10,79,597"
Del Norte County,California,1479,"28,290"
El Dorado County,California,351,"1,80,561"
Fresno County,California,49,"9,47,895"
Glenn County,California,1495,"27,992"
Humboldt County,California,465,"1,34,827"
Imperial County,California,356,"1,76,948"
Inyo County,California,1896,"18,495"
Kern County,California,61,"8,56,158"
Kings County,California,417,"1,51,364"
Lake County,California,820,"63,983"
Lassen County,California,1335,"33,658"
Los Angeles County,California,1,"99,62,789"
Madera County,California,413,"1,52,218"
Marin County,California,258,"2,56,069"
Mariposa County,California,1925,"17,905"
Mendocino County,California,651,"87,428"
Merced County,California,254,"2,62,305"
Modoc County,California,2490,"9,327"
Mono County,California,2145,"14,348"
Monterey County,California,161,"4,26,762"
Napa County,California,450,"1,39,045"
Nevada County,California,597,"98,292"
Orange County,California,6,"30,90,132"
Placer County,California,184,"3,61,682"
Plumas County,California,1861,"19,399"
Riverside County,California,11,"22,68,783"
Sacramento County,California,25,"14,50,121"
San Benito County,California,894,"56,884"
San Bernardino County,California,12,"20,81,313"
San Diego County,California,5,"31,77,063"
"San Francisco, City and County of",California,67,"8,25,863"
San Joaquin County,California,87,"7,02,612"
San Luis Obispo County,California,241,"2,74,804"
San Mateo County,California,82,"7,39,311"
Santa Barbara County,California,157,"4,31,249"
Santa Clara County,California,16,"18,37,504"
Santa Cruz County,California,249,"2,66,776"
Shasta County,California,354,"1,78,586"
Sierra County,California,2970,"3,086"
Siskiyou County,California,1083,"44,154"
Solano County,California,162,"4,20,757"
Sonoma County,California,137,"4,91,829"
Stanislaus County,California,125,"5,21,726"
Sutter County,California,611,"95,022"
Tehama County,California,825,"63,406"
Trinity County,California,2212,"13,526"
Tulare County,California,147,"4,51,977"
Tuolumne County,California,924,"54,008"
Ventura County,California,64,"8,35,981"
Yolo County,California,307,"2,04,118"
Yuba County,California,745,"72,926"
Adams County,Colorado,145,"4,59,598"
Alamosa County,Colorado,2034,"16,148"
Arapahoe County,Colorado,108,"5,95,546"
Archuleta County,Colorado,2295,"12,070"
Baca County,Colorado,2926,"3,751"
Bent County,Colorado,2782,"5,773"
Boulder County,Colorado,213,"3,05,318"
"Broomfield, City and County of",Colorado,879,"58,298"
Chaffee County,Colorado,1913,"18,150"
Cheyenne County,Colorado,3068,"1,874"
Clear Creek County,Colorado,2519,"9,026"
Conejos County,Colorado,2588,"8,275"
Costilla County,Colorado,2937,"3,594"
Crowley County,Colorado,2814,"5,365"
Custer County,Colorado,2888,"4,249"
Delta County,Colorado,1421,"30,432"
"Denver, City and County of",Colorado,98,"6,34,265"
Dolores County,Colorado,3054,"1,994"
Douglas County,Colorado,221,"2,98,215"
Eagle County,Colorado,957,"51,874"
Elbert County,Colorado,1669,"23,383"
El Paso County,Colorado,97,"6,44,964"
Fremont County,Colorado,1030,"46,788"
Garfield County,Colorado,891,"56,953"
Gilpin County,Colorado,2806,"5,491"
Grand County,Colorado,2163,"14,195"
Gunnison County,Colorado,2077,"15,475"
Hinsdale County,Colorado,3118,810
Huerfano County,Colorado,2715,"6,596"
Jackson County,Colorado,3092,"1,348"
Jefferson County,Colorado,117,"5,45,358"
Kiowa County,Colorado,3085,"1,444"
Kit Carson County,Colorado,2594,"8,094"
Lake County,Colorado,2651,"7,338"
La Plata County,Colorado,949,"52,401"
Larimer County,Colorado,209,"3,10,487"
Las Animas County,Colorado,2111,"14,945"
Lincoln County,Colorado,2809,"5,453"
Logan County,Colorado,1703,"22,631"
Mesa County,Colorado,424,"1,47,848"
Mineral County,Colorado,3128,709
Moffat County,Colorado,2231,"13,200"
Montezuma County,Colorado,1591,"25,431"
Montrose County,Colorado,1161,"40,725"
Morgan County,Colorado,1470,"28,472"
Otero County,Colorado,1888,"18,698"
Ouray County,Colorado,2867,"4,530"
Park County,Colorado,2045,"16,029"
Phillips County,Colorado,2877,"4,367"
Pitkin County,Colorado,1965,"17,263"
Prowers County,Colorado,2280,"12,389"
Pueblo County,Colorado,390,"1,60,852"
Rio Blanco County,Colorado,2694,"6,857"
Rio Grande County,Colorado,2302,"11,943"
Routt County,Colorado,1674,"23,334"
Saguache County,Colorado,2739,"6,304"
San Juan County,Colorado,3130,690
San Miguel County,Colorado,2635,"7,580"
Sedgwick County,Colorado,3017,"2,383"
Summit County,Colorado,1492,"28,044"
Teller County,Colorado,1668,"23,389"
Washington County,Colorado,2855,"4,766"
Weld County,Colorado,253,"2,63,691"
Yuma County,Colorado,2434,"10,119"
Fairfield County,Connecticut,51,"9,33,835"
Hartford County,Connecticut,57,"8,97,259"
Litchfield County,Connecticut,338,"1,87,530"
Middlesex County,Connecticut,380,"1,65,602"
New Haven County,Connecticut,60,"8,62,813"
New London County,Connecticut,243,"2,74,170"
Tolland County,Connecticut,416,"1,51,539"
Windham County,Connecticut,516,"1,17,599"
Kent County,Delaware,373,"1,67,626"
New Castle County,Delaware,116,"5,46,076"
Sussex County,Delaware,308,"2,03,390"
District of Columbia,District of Columbia,99,"6,32,323"
Alachua County,Florida,263,"2,51,417"
Baker County,Florida,1528,"27,086"
Bay County,Florida,363,"1,71,903"
Bradford County,Florida,1529,"27,049"
Brevard County,Florida,115,"5,47,307"
Broward County,Florida,17,"18,15,137"
Calhoun County,Florida,2127,"14,723"
Charlotte County,Florida,386,"1,62,449"
Citrus County,Florida,449,"1,39,360"
Clay County,Florida,327,"1,94,345"
Collier County,Florida,197,"3,32,427"
Columbia County,Florida,781,"67,966"
DeSoto County,Florida,1308,"34,712"
Dixie County,Florida,2036,"16,126"
Duval County,Florida,59,"8,79,602"
Escambia County,Florida,215,"3,02,715"
Flagler County,Florida,596,"98,359"
Franklin County,Florida,2318,"11,686"
Gadsden County,Florida,1039,"46,528"
Gilchrist County,Florida,1993,"16,815"
Glades County,Florida,2235,"13,107"
Gulf County,Florida,2061,"15,718"
Hamilton County,Florida,2128,"14,708"
Hardee County,Florida,1513,"27,514"
Hendry County,Florida,1234,"37,447"
Hernando County,Florida,360,"1,73,422"
Highlands County,Florida,598,"98,128"
Hillsborough County,Florida,29,"12,77,746"
Holmes County,Florida,1845,"19,804"
Indian River County,Florida,446,"1,40,567"
Jackson County,Florida,1000,"48,968"
Jefferson County,Florida,2157,"14,256"
Lafayette County,Florida,2532,"8,804"
Lake County,Florida,214,"3,03,186"
Lee County,Florida,96,"6,45,293"
Leon County,Florida,233,"2,83,769"
Levy County,Florida,1172,"40,025"
Liberty County,Florida,2587,"8,276"
Madison County,Florida,1878,"18,907"
Manatee County,Florida,196,"3,33,895"
Marion County,Florida,195,"3,35,125"
Martin County,Florida,423,"1,48,817"
Miami-Dade County,Florida,7,"25,91,035"
Monroe County,Florida,730,"74,809"
Nassau County,Florida,733,"74,629"
Okaloosa County,Florida,333,"1,90,083"
Okeechobee County,Florida,1183,"39,467"
Orange County,Florida,33,"12,02,234"
Osceola County,Florida,229,"2,87,416"
Palm Beach County,Florida,27,"13,56,545"
Pasco County,Florida,141,"4,70,391"
Pinellas County,Florida,53,"9,21,319"
Polk County,Florida,105,"6,16,158"
Putnam County,Florida,741,"73,263"
St. Johns County,Florida,312,"2,02,188"
St. Lucie County,Florida,232,"2,83,866"
Santa Rosa County,Florida,397,"1,58,512"
Sarasota County,Florida,174,"3,86,147"
Seminole County,Florida,158,"4,30,838"
Sumter County,Florida,576,"1,01,620"
Suwannee County,Florida,1094,"43,656"
Taylor County,Florida,1697,"22,744"
Union County,Florida,2091,"15,212"
Volusia County,Florida,135,"4,96,950"
Wakulla County,Florida,1414,"30,818"
Walton County,Florida,886,"57,582"
Washington County,Florida,1613,"24,892"
Appling County,Georgia,1903,"18,368"
Atkinson County,Georgia,2586,"8,284"
Bacon County,Georgia,2346,"11,198"
Baker County,Georgia,2951,"3,366"
Baldwin County,Georgia,1042,"46,367"
Banks County,Georgia,1907,"18,316"
Barrow County,Georgia,760,"70,169"
Bartow County,Georgia,583,"1,00,661"
Ben Hill County,Georgia,1946,"17,538"
Berrien County,Georgia,1871,"19,041"
Bibb County,Georgia,402,"1,56,462"
Bleckley County,Georgia,2249,"12,913"
Brantley County,Georgia,1893,"18,587"
Brooks County,Georgia,2079,"15,403"
Bryan County,Georgia,1385,"32,214"
Bulloch County,Georgia,746,"72,694"
Burke County,Georgia,1684,"23,125"
Butts County,Georgia,1662,"23,524"
Calhoun County,Georgia,2723,"6,504"
Camden County,Georgia,963,"51,402"
Candler County,Georgia,2352,"11,117"
Carroll County,Georgia,540,"1,11,580"
Catoosa County,Georgia,810,"65,046"
Charlton County,Georgia,2225,"13,295"
Chatham County,Georgia,239,"2,76,434"
Chattahoochee County,Georgia,2239,"13,037"
Chattooga County,Georgia,1578,"25,725"
Cherokee County,Georgia,286,"2,21,315"
Clarke County,Georgia,507,"1,20,266"
Clay County,Georgia,2967,"3,116"
Clayton County,Georgia,251,"2,65,888"
Clinch County,Georgia,2706,"6,718"
Cobb County,Georgia,84,"7,07,442"
Coffee County,Georgia,1103,"43,170"
Colquitt County,Georgia,1046,"46,137"
Columbia County,Georgia,476,"1,31,627"
Cook County,Georgia,1988,"16,923"
Coweta County,Georgia,478,"1,30,929"
Crawford County,Georgia,2266,"12,600"
Crisp County,Georgia,1658,"23,606"
Dade County,Georgia,2013,"16,490"
Dawson County,Georgia,1713,"22,422"
Decatur County,Georgia,1514,"27,509"
DeKalb County,Georgia,86,"7,07,089"
Dodge County,Georgia,1766,"21,329"
Dooly County,Georgia,2149,"14,318"
Dougherty County,Georgia,613,"94,501"
Douglas County,Georgia,468,"1,33,971"
Early County,Georgia,2391,"10,594"
Echols County,Georgia,2907,"3,988"
Effingham County,Georgia,933,"53,293"
Elbert County,Georgia,1850,"19,684"
Emanuel County,Georgia,1694,"22,898"
Evans County,Georgia,2381,"10,689"
Fannin County,Georgia,1663,"23,492"
Fayette County,Georgia,552,"1,07,524"
Floyd County,Georgia,607,"96,177"
Forsyth County,Georgia,337,"1,87,928"
Franklin County,Georgia,1737,"21,894"
Fulton County,Georgia,43,"9,77,773"
Gilmer County,Georgia,1484,"28,190"
Glascock County,Georgia,2966,"3,142"
Glynn County,Georgia,682,"81,022"
Gordon County,Georgia,905,"55,766"
Grady County,Georgia,1590,"25,440"
Greene County,Georgia,2039,"16,092"
Gwinnett County,Georgia,63,"8,42,046"
Habersham County,Georgia,1099,"43,520"
Hall County,Georgia,340,"1,85,416"
Hancock County,Georgia,2522,"8,996"
Haralson County,Georgia,1473,"28,400"
Harris County,Georgia,1373,"32,550"
Hart County,Georgia,1585,"25,518"
Heard County,Georgia,2321,"11,633"
Henry County,Georgia,300,"2,09,053"
Houston County,Georgia,435,"1,46,136"
Irwin County,Georgia,2463,"9,600"
Jackson County,Georgia,854,"60,571"
Jasper County,Georgia,2207,"13,630"
Jeff Davis County,Georgia,2096,"15,156"
Jefferson County,Georgia,2016,"16,432"
Jenkins County,Georgia,2501,"9,213"
Johnson County,Georgia,2451,"9,897"
Jones County,Georgia,1465,"28,577"
Lamar County,Georgia,1918,"18,057"
Lanier County,Georgia,2404,"10,400"
Laurens County,Georgia,1012,"48,041"
Lee County,Georgia,1456,"28,746"
Liberty County,Georgia,808,"65,471"
Lincoln County,Georgia,2624,"7,737"
Long County,Georgia,2043,"16,048"
Lowndes County,Georgia,527,"1,14,552"
Lumpkin County,Georgia,1419,"30,611"
McDuffie County,Georgia,1746,"21,663"
McIntosh County,Georgia,2183,"13,839"
Macon County,Georgia,2154,"14,263"
Madison County,Georgia,1497,"27,922"
Marion County,Georgia,2545,"8,711"
Meriwether County,Georgia,1770,"21,273"
Miller County,Georgia,2761,"5,969"
Mitchell County,Georgia,1683,"23,144"
Monroe County,Georgia,1542,"26,637"
Montgomery County,Georgia,2527,"8,913"
Morgan County,Georgia,1926,"17,881"
Murray County,Georgia,1186,"39,392"
Muscogee County,Georgia,322,"1,98,413"
Newton County,Georgia,577,"1,01,505"
Oconee County,Georgia,1337,"33,619"
Oglethorpe County,Georgia,2131,"14,618"
Paulding County,Georgia,438,"1,44,800"
Peach County,Georgia,1507,"27,622"
Pickens County,Georgia,1441,"29,268"
Pierce County,Georgia,1882,"18,844"
Pike County,Georgia,1929,"17,810"
Polk County,Georgia,1147,"41,188"
Pulaski County,Georgia,2315,"11,720"
Putnam County,Georgia,1774,"21,198"
Quitman County,Georgia,3013,"2,404"
Rabun County,Georgia,2026,"16,297"
Randolph County,Georgia,2653,"7,327"
Richmond County,Georgia,311,"2,02,587"
Rockdale County,Georgia,658,"85,820"
Schley County,Georgia,2839,"4,990"
Screven County,Georgia,2161,"14,202"
Seminole County,Georgia,2525,"8,947"
Spalding County,Georgia,823,"63,865"
Stephens County,Georgia,1569,"25,891"
Stewart County,Georgia,2757,"6,042"
Sumter County,Georgia,1400,"31,554"
Talbot County,Georgia,2722,"6,517"
Taliaferro County,Georgia,3076,"1,680"
Tattnall County,Georgia,1595,"25,384"
Taylor County,Georgia,2570,"8,420"
Telfair County,Georgia,2022,"16,349"
Terrell County,Georgia,2516,"9,045"
Thomas County,Georgia,1075,"44,724"
Tift County,Georgia,1152,"41,064"
Toombs County,Georgia,1519,"27,315"
Towns County,Georgia,2395,"10,495"
Treutlen County,Georgia,2701,"6,769"
Troup County,Georgia,773,"68,468"
Turner County,Georgia,2572,"8,410"
Twiggs County,Georgia,2569,"8,447"
Union County,Georgia,1757,"21,451"
Upson County,Georgia,1544,"26,630"
Walker County,Georgia,780,"68,094"
Walton County,Georgia,665,"84,575"
Ware County,Georgia,1280,"35,821"
Warren County,Georgia,2799,"5,578"
Washington County,Georgia,1784,"20,879"
Wayne County,Georgia,1423,"30,305"
Webster County,Georgia,2989,"2,793"
Wheeler County,Georgia,2607,"7,888"
White County,Georgia,1512,"27,556"
Whitfield County,Georgia,567,"1,03,359"
Wilcox County,Georgia,2513,"9,068"
Wilkes County,Georgia,2437,"10,076"
Wilkinson County,Georgia,2465,"9,577"
Worth County,Georgia,1741,"21,741"
Hawaii County,Hawai?i,336,"1,89,191"
"Honolulu, City and County of",Hawai?i,44,"9,76,372"
Kalawao County,Hawai?i,3142,90
Kauai County,Hawai?i,774,"68,434"
Maui County,Hawai?i,399,"1,58,226"
Ada County,Idaho,167,"4,09,061"
Adams County,Idaho,2914,"3,915"
Bannock County,Idaho,668,"83,800"
Bear Lake County,Idaho,2772,"5,907"
Benewah County,Idaho,2509,"9,117"
Bingham County,Idaho,1058,"45,474"
Blaine County,Idaho,1776,"21,146"
Boise County,Idaho,2696,"6,835"
Bonner County,Idaho,1166,"40,476"
Bonneville County,Idaho,559,"1,06,684"
Boundary County,Idaho,2375,"10,808"
Butte County,Idaho,2996,"2,740"
Camas County,Idaho,3106,"1,077"
Canyon County,Idaho,329,"1,93,888"
Caribou County,Idaho,2699,"6,787"
Cassia County,Idaho,1678,"23,249"
Clark County,Idaho,3114,869
Clearwater County,Idaho,2558,"8,590"
Custer County,Idaho,2882,"4,331"
Elmore County,Idaho,1553,"26,223"
Franklin County,Idaho,2253,"12,786"
Fremont County,Idaho,2243,"12,957"
Gem County,Idaho,2000,"16,673"
Gooding County,Idaho,2088,"15,291"
Idaho County,Idaho,2024,"16,308"
Jefferson County,Idaho,1540,"26,684"
Jerome County,Idaho,1710,"22,499"
Kootenai County,Idaho,443,"1,42,357"
Latah County,Idaho,1213,"38,184"
Lemhi County,Idaho,2622,"7,758"
Lewis County,Idaho,2917,"3,889"
Lincoln County,Idaho,2821,"5,277"
Madison County,Idaho,1233,"37,456"
Minidoka County,Idaho,1839,"20,037"
Nez Perce County,Idaho,1181,"39,531"
Oneida County,Idaho,2890,"4,215"
Owyhee County,Idaho,2330,"11,439"
Payette County,Idaho,1702,"22,639"
Power County,Idaho,2620,"7,778"
Shoshone County,Idaho,2260,"12,702"
Teton County,Idaho,2439,"10,052"
Twin Falls County,Idaho,699,"78,595"
Valley County,Idaho,2470,"9,545"
Washington County,Idaho,2435,"10,099"
Adams County,Illinois,787,"67,197"
Alexander County,Illinois,2623,"7,748"
Bond County,Illinois,1938,"17,644"
Boone County,Illinois,926,"53,940"
Brown County,Illinois,2692,"6,914"
Bureau County,Illinois,1319,"34,323"
Calhoun County,Illinois,2838,"5,014"
Carroll County,Illinois,2105,"15,011"
Cass County,Illinois,2220,"13,338"
Champaign County,Illinois,310,"2,03,276"
Christian County,Illinois,1309,"34,638"
Clark County,Illinois,2031,"16,209"
Clay County,Illinois,2191,"13,766"
Clinton County,Illinois,1220,"38,061"
Coles County,Illinois,929,"53,655"
Cook County,Illinois,2,"52,31,351"
Crawford County,Illinois,1853,"19,600"
Cumberland County,Illinois,2361,"10,968"
DeKalb County,Illinois,563,"1,04,704"
De Witt County,Illinois,2015,"16,434"
Douglas County,Illinois,1844,"19,853"
DuPage County,Illinois,52,"9,27,987"
Edgar County,Illinois,1911,"18,191"
Edwards County,Illinois,2709,"6,684"
Effingham County,Illinois,1318,"34,353"
Fayette County,Illinois,1731,"22,014"
Ford County,Illinois,2176,"14,008"
Franklin County,Illinois,1185,"39,407"
Fulton County,Illinois,1257,"36,651"
Gallatin County,Illinois,2811,"5,430"
Greene County,Illinois,2210,"13,576"
Grundy County,Illinois,974,"50,281"
Hamilton County,Illinois,2573,"8,370"
Hancock County,Illinois,1881,"18,891"
Hardin County,Illinois,2886,"4,258"
Henderson County,Illinois,2678,"7,043"
Henry County,Illinois,976,"50,155"
Iroquois County,Illinois,1443,"29,240"
Jackson County,Illinois,863,"60,071"
Jasper County,Illinois,2461,"9,614"
Jefferson County,Illinois,1203,"38,720"
Jersey County,Illinois,1698,"22,742"
Jo Daviess County,Illinois,1709,"22,549"
Johnson County,Illinois,2255,"12,760"
Kane County,Illinois,124,"5,22,487"
Kankakee County,Illinois,530,"1,13,040"
Kendall County,Illinois,515,"1,18,105"
Knox County,Illinois,950,"52,247"
Lake County,Illinois,88,"7,02,120"
LaSalle County,Illinois,531,"1,12,973"
Lawrence County,Illinois,2001,"16,604"
Lee County,Illinois,1299,"35,037"
Livingston County,Illinois,1207,"38,647"
Logan County,Illinois,1427,"30,013"
McDonough County,Illinois,1375,"32,537"
McHenry County,Illinois,210,"3,08,145"
McLean County,Illinois,362,"1,72,281"
Macon County,Illinois,543,"1,10,122"
Macoupin County,Illinois,1024,"47,231"
Madison County,Illinois,248,"2,67,883"
Marion County,Illinois,1199,"38,894"
Marshall County,Illinois,2286,"12,327"
Mason County,Illinois,2146,"14,327"
Massac County,Illinois,2089,"15,234"
Menard County,Illinois,2259,"12,722"
Mercer County,Illinois,2028,"16,219"
Monroe County,Illinois,1344,"33,357"
Montgomery County,Illinois,1434,"29,620"
Morgan County,Illinois,1296,"35,272"
Moultrie County,Illinois,2112,"14,933"
Ogle County,Illinois,942,"52,848"
Peoria County,Illinois,339,"1,87,254"
Perry County,Illinois,1728,"22,058"
Piatt County,Illinois,2011,"16,504"
Pike County,Illinois,2024,"16,308"
Pope County,Illinois,2883,"4,272"
Pulaski County,Illinois,2760,"5,998"
Putnam County,Illinois,2775,"5,886"
Randolph County,Illinois,1355,"32,956"
Richland County,Illinois,2033,"16,176"
Rock Island County,Illinois,426,"1,47,457"
St. Clair County,Illinois,247,"2,68,858"
Saline County,Illinois,1610,"24,946"
Sangamon County,Illinois,318,"1,99,271"
Schuyler County,Illinois,2644,"7,457"
Scott County,Illinois,2820,"5,290"
Shelby County,Illinois,1723,"22,196"
Stark County,Illinois,2764,"5,946"
Stephenson County,Illinois,1027,"46,959"
Tazewell County,Illinois,458,"1,35,949"
Union County,Illinois,1937,"17,647"
Vermilion County,Illinois,683,"80,727"
Wabash County,Illinois,2314,"11,727"
Warren County,Illinois,1933,"17,731"
Washington County,Illinois,2133,"14,598"
Wayne County,Illinois,2005,"16,574"
White County,Illinois,2135,"14,568"
